timestamp,pid,name,cpu_percent,memory_percent,io_read_bytes,io_write_bytes,voluntary_context_switches,involuntary_context_switches,num_threads,status
2026-09-09T15:06:48.294009,959,bash,0.0,0.06876188776587888,6848512,0,73,0,1,sleeping
2026-09-09T15:06:48.294130,1508,polkitd,0.0,0.10268912417822235,0,0,44,0,4,sleeping
2026-09-09T15:06:48.294250,1678,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:48.294368,1680,Relay(1683),0.0,0.014266579353184547,0,0,114,0,1,sleeping
2026-09-09T15:06:48.294473,1683,bash,0.0,0.06871147582470155,0,0,69,0,1,sleeping
2026-09-09T15:06:48.294561,2132,ssh-agent,0.0,0.04380797688310025,0,0,41,0,1,sleeping
2026-09-09T15:06:48.294643,3026,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:48.294735,3028,Relay(3031),0.0,0.014266579353184547,0,0,248,0,1,sleeping
2026-09-09T15:06:48.294834,3031,bash,0.0,0.06861065194234689,778240,57344,147,0,1,sleeping
2026-09-09T15:06:48.294924,3222,python,0.0,0.16832547159110672,5017600,8192,69,0,1,running
2026-09-09T15:06:49.563068,1,systemd,0.0,0.16701476112049612,0,0,1732,54,1,sleeping
2026-09-09T15:06:49.563210,2,init-systemd(Ub,0.0,0.027827391529886468,0,0,59,0,2,sleeping
2026-09-09T15:06:49.563361,7,init,0.0,0.025810913882793246,0,0,2,0,2,sleeping
2026-09-09T15:06:49.563455,40,systemd-journald,0.0,0.2024039438269822,0,0,1979,5,1,sleeping
2026-09-09T15:06:49.563618,94,systemd-udevd,0.0,0.08070951782490622,0,0,4395,24,1,sleeping
2026-09-09T15:06:49.563721,166,systemd-resolved,0.0,0.1669643491793188,0,0,416,0,1,sleeping
2026-09-09T15:06:49.563844,167,systemd-timesyncd,0.0,0.10067264653112912,0,0,775,9,2,sleeping
2026-09-09T15:06:49.563976,177,cron,0.0,0.0338264125299888,0,0,299,0,1,sleeping
2026-09-09T15:06:49.564068,178,dbus-daemon,0.0,0.06891312358941086,0,0,1015,0,1,sleeping
2026-09-09T15:06:49.564161,208,systemd-logind,0.0,0.11130956611954587,0,0,1446,7,1,sleeping
2026-09-09T15:06:49.564249,235,agetty,0.0,0.024903498941601297,0,0,8,0,1,sleeping
2026-09-09T15:06:49.564347,237,rsyslogd,0.0,0.07430720129538523,0,0,40,2,4,sleeping
2026-09-09T15:06:49.564438,259,unattended-upgr,0.0,0.2936999692991278,0,0,123,2,2,sleeping
2026-09-09T15:06:49.564597,309,apache2,0.0,0.06467852053051511,0,0,11877,43,1,sleeping
2026-09-09T15:06:49.564711,312,apache2,0.0,0.07289566694241999,0,0,2,0,27,sleeping
2026-09-09T15:06:49.564817,313,apache2,0.0,0.07294607888359732,0,0,2,0,27,sleeping
